,,,,,,,,,,,
Entity,Entity Name,Entity ID,Version Added,Order Added,Creative Only,OP Only,Commands Only,Renewable,Infinitely Automatically Farmable,,
,Cave Spider,cave_spider,Beta 1.8 Pre-Release,29,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,59
,Enderman,enderman,Beta 1.8 Pre-Release,30,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,60
,Shulker,shulker,1.9 15w21a,72,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,61
,Endermite,endermite,1.8 14w11a,67,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,62
,Silverfish,silverfish,Beta 1.8 Pre-Release,31,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,63
,Slime,slime,Alpha v1.0.11,17,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,64
,Breeze,breeze,1.21 Experimental 23w45a,144,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,65
,Witch,witch,1.4.2 12w38a,55,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,66
,Illusioner,illusioner,1.12 17w16a,93,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,67
,Pillager,pillager,1.14 18w43a,104,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,68
,Vindicator,vindicator,1.11 16w39a,87,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,69
,Evoker,evoker,1.11 16w39a,88,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,70
,Vex,vex,1.11 16w39a,89,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,71
,Ravager,ravager,1.14 18w43a,105,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,72
,Guardian,guardian,1.8 14w25a,68,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,73
,Elder Guardian,elder_guardian,1.8 14w25a,69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,74
,Phantom,phantom,1.13 18w07a,95,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,75
,Creaking,creaking,1.21.4 Experimental 24w40a,148,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,76
,Warden,warden,1.19 Experimental Snapshot 1,120,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,77
,Strider,strider,1.16 20w13a,112,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,78
,Piglin,piglin,1.16 20w07a,111,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,79
,Piglin Brute,piglin_brute,1.16.2 20w27a,114,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,80
,Zombified Piglin,zombified_piglin,Alpha v1.2.0 Preview,21,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,81
,Hoglin,hoglin,1.16 20w06a,110,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,82
,Zoglin,zoglin,1.16 20w14a,113,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,83
,Ghast,ghast,Alpha v1.2.0 Preview,22,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,84
,Happy Ghast,happy_ghast,1.21.6 25w15a,151,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,85
,Magma Cube,magma_cube,1.0.0 Beta 1.9 Prerelease,36,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,86
,Blaze,blaze,1.0.0 Beta 1.9 Prerelease,37,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,87
,Wither Skeleton,wither_skeleton,1.4.2 12w36a,53,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,88
,Wither,wither,1.4.2 12w34a,50,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,89
,Ender Dragon,ender_dragon,1.0.0 Beta 1.9 Prerelease 4,40,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,90
,Item,item,Classic 0.24 Survival Test,6,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,91
,Experience Orb,experience_orb,Beta 1.8 Pre-Release,32,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,92
,Oak Boat,oak_boat,Alpha v1.0.6,15,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,93
,Birch Boat,birch_boat,1.9 15w41a,78,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,94
,Spruce Boat,spruce_boat,1.9 15w41a,79,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,95
,Jungle Boat,jungle_boat,1.9 15w41a,80,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,96
,Dark Oak Boat,dark_oak_boat,1.9 15w41a,81,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,97
,Acacia Boat,acacia_boat,1.9 15w41a,82,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,98
,Mangrove Boat,mangrove_boat,1.19 22w11a,123,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,99
,Cherry Boat,cherry_boat,1.20 Experimental 23w07a,139,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,100
,Bamboo Raft,bamboo_raft,1.20 Experimental 22w42a,133,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,101
,Pale Oak Boat,pale_oak_boat,1.21.4 Experimental 24w40a,149,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,102
,Oak Boat with Chest,oak_chest_boat,1.19 22w12a,124,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,103
,Birch Boat with Chest,birch_chest_boat,1.19 22w12a,125,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,104
,Spruce Boat with Chest,spruce_chest_boat,1.19 22w12a,126,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,105
,Jungle Boat with Chest,jungle_chest_boat,1.19 22w12a,127,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,106
,Dark Oak Boat with Chest,dark_oak_chest_boat,1.19 22w12a,128,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,107
,Acacia Boat with Chest,acacia_chest_boat,1.19 22w12a,129,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,108
,Mangrove Boat with Chest,mangrove_chest_boat,1.19 22w12a,130,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,109
,Cherry Boat with Chest,cherry_chest_boat,1.20 Experimental 23w07a,140,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,110
,Bamboo Raft with Chest,bamboo_chest_raft,1.20 Experimental 22w42a,134,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,111
,Pale Oak Boat with Chest,pale_oak_chest_boat,1.21.4 Experimental 24w40a,150,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,112
,Minecart,minecart,Infdev 20100618,13,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,113
,Minecart with Chest,chest_minecart,Alpha v1.0.14,19,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,114
,Minecart with Hopper,hopper_minecarts,1.5 13w03a,58,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,115
,Minecart with Furnace,furnace_minecart,Alpha v1.0.14,20,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,116
,Minecart with TNT,tnt_minecart,1.5 13w02a,57,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,117
,Minecart with Monster Spawner,spawner_minecart,1.5 13w06a,59,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,118
,Minecart with Command Block,command_block_minecart,1.7.2 13w39a,66,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,119
,Falling Block,falling_block,1.0.0 Beta 1.9 Prerelease 6,43,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,120
,Primed TNT,tnt,Classic 0.26 Survival Test,9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,121
,Painting,painting,Indev 20100223,12,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,122
,Item Frame,item_frame,1.4.2 12w34a,51,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,123
,Glow Item Frame,glow_item_frame,1.17 21w03a,117,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,124
,Armor Stand,armor_stand,1.8 14w32a,71,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,125
,Leash Knot,leash_knot,1.6.1 13w16a,65,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,126
,End Crystal,end_crystal,1.0.0 Beta 1.9 Prerelease 6,44,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,127
,Arrow,arrow,Classic 0.24 Survival Test,7,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,128
,Spectral Arrow,spectral_arrow,1.9 15w31a,73,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,129
,Trident,trident,1.13 18w07a,96,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,130
,Firework Rocket,firework_rocket,1.4.6 12w49a,56,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,131
,Fishing Bobber,fishing_bobber,Alpha v1.2.0,24,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,132
,Bottle o' Enchanting,experience_bottle,1.2.1 12w04a,47,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,133
,Splash Potion,splash_potion,1.0.0 Beta 1.9 Prerelease 4,41,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,134
,Lingering Potion,lingering_potion,1.9 15w33a,76,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,135
,Area Effect Cloud,area_effect_cloud,1.9 15w33a,77,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,136
,Ominous Item Spawner,ominous_item_spawner,1.21 Experimental 24w13a,147,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,137
,Egg,egg,Beta 1.0,25,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,138
,Snowball,snowball,Alpha v1.0.5,14,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,139
,Enderpearl,enderpearl,1.0.0 Beta 1.9 Prerelease 2,39,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,140
,Eye of Ender,eye_of_ender,1.0.0 Beta 1.9 Prerelease 4,42,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,141
,Small Fireball,small_fireball,1.0.0 Beta 1.9 Prerelease,38,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,142
,Fireball,fireball,Alpha v1.2.0 Preview,23,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,143
,Dragon Fireball,dragon_fireball,1.9 15w31a,74,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,144
,Wither Skull,wither_skull,1.4.2 12w34a,52,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,145
,Shulker Bullet,shulker_bullet,1.9 15w31a,75,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,146
,Wind Charge,wind_charge,1.21 Experimental 23w45a,145,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,147
,Breeze Wind Charge,breeze_wind_charge,1.21 Experimental 24w06a,146,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,148
,Llama Spit,llama_spit,1.11 16w39a,90,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,149
,Evoker Fangs,evoker_fangs,1.11 16w39a,91,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,150
,Lightning Bolt,lightning_bolt,Beta 1.5,28,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,151
,Marker,marker,1.17 21w15a,119,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,152
,Interaction,interaction,1.19.4 23w07a,141,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,153
,Block Display,block_display,1.19.4 23w06a,135,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,154
,Item Display,item_display,1.19.4 23w06a,136,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,155
,Text Display,text_display,1.19.4 23w06a,137,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,156
,Mannequin,mannequin,1.21.9 25w36a,153,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,157
