,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block,Block Name,Block ID,Version Added,Order Added,Creative Only,OP Only,Commands Only,Renewable,Infinitely Automatically Farmable,,Has an Item Form,,Block Entity,Mob Spawnable On,Mob Spawnable Inside,Warden Spawnable On,Spider Spawnable Under,Light Level,Blast Resistance,Hardness,Mining Tool,Mining Level Required,Can Drop Itself,,,Insta-Mineable In Survival,Can be Waterlogged,Gets Flushed,Has Collision,Can Have a Full Block Collision,Has a Mining Hitbox,Can Have a Full Block Mining Hitbox,Can be Immovable,Disappears when Pushed,Transmits Redstone,Launches Minecart,Can Suffocate,Obeys Gravity,Requires Support Block to Place,Requires Support Block to Exist,Flammable,Catches Fire from Lava,Transparent,Filters Sky Light,Beacon can Bypass,Chest Openable Under,Tramples Farmland,Causes Damage,Fall Damage Amplification,Note Block Sound,Opens a GUI,GUI Stores Items,Rotation Availability,Can Change Block State,
,Mossy Cobblestone Slab,mossy_cobblestone_slab,1.14 18w43a,601,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Depends,Depends,Depends,TRUE,0,6,2,Pickaxe,0,FALSE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Depends,Depends,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,2,TRUE,10
,Mossy Cobblestone Stairs,mossy_cobblestone_stairs,1.14 18w43a,602,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Depends,Depends,Depends,TRUE,0,6,2,Pickaxe,0,FALSE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,8,TRUE,11
,Mossy Cobblestone Wall,mossy_cobblestone_wall,1.4.2 12w34a,184,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,No,No,No,TRUE,0,6,2,Pickaxe,0,FALSE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,1,TRUE,12
,Stone,stone,Pre-Classic Cave Game Tech Test,2,FALSE,FALSE,FALSE,Yes,Yes,FALSE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,6,1.5,Pickaxe,0,FALSE,FALSE,TRUE,TRUE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,1,FALSE,13
,Stone Slab,stone_slab,1.14 18w43a,603,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Depends,Depends,Depends,TRUE,0,6,2,Pickaxe,0,FALSE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Depends,Depends,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,2,TRUE,14
,Stone Stairs,stone_stairs,1.14 18w43a,604,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Depends,Depends,Depends,TRUE,0,6,1.5,Pickaxe,0,FALSE,TRUE,TRUE,TRUE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,8,TRUE,15
,Infested Stone,infested_stone,Beta 1.8 Pre-Release,119,FALSE,FALSE,FALSE,Yes,Yes,FALSE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,0.75,0.75,Pickaxe,0,FALSE,FALSE,FALSE,TRUE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Harp,FALSE,FALSE,1,FALSE,16
,Smooth Stone,smooth_stone,Beta 1.3,100,FALSE,FALSE,FALSE,Yes,Yes,FALSE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,6,2,Pickaxe,0,FALSE,TRUE,TRUE,FALSE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,1,FALSE,17
,Smooth Stone Slab,smooth_stone_slab,Classic 0.26 Survival Test,42,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Depends,Depends,Depends,TRUE,0,6,2,Pickaxe,0,FALSE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Depends,Depends,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,2,TRUE,18
,Stone Bricks,stone_bricks,Beta 1.8 Pre-Release,120,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,6,1.5,Pickaxe,0,FALSE,TRUE,TRUE,TRUE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,1,FALSE,19
,Stone Brick Slab,stone_brick_slab,Beta 1.8 Pre-Release,121,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Depends,Depends,Depends,TRUE,0,6,2,Pickaxe,0,FALSE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Depends,Depends,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,2,TRUE,20
,Stone Brick Stairs,stone_brick_stairs,Beta 1.8 Pre-Release,122,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Depends,Depends,Depends,TRUE,0,6,1.5,Pickaxe,0,FALSE,TRUE,TRUE,TRUE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,8,TRUE,21
,Stone Brick Wall,stone_brick_wall,1.14 18w43a,605,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,No,No,No,TRUE,0,6,1.5,Pickaxe,0,FALSE,TRUE,TRUE,TRUE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,1,TRUE,22
,Infested Stone Bricks,infested_stone_bricks,Beta 1.8 Pre-Release,123,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,0.75,0.75,Pickaxe,0,FALSE,FALSE,TRUE,TRUE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Harp,FALSE,FALSE,1,FALSE,23
,Cracked Stone Bricks,cracked_stone_bricks,Beta 1.8 Pre-Release,124,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,6,1.5,Pickaxe,0,FALSE,TRUE,TRUE,TRUE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,1,FALSE,24
,Infested Cracked Stone Bricks,infested_cracked_stone_bricks,1.7.2 13w36a,272,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,0.75,0.75,Pickaxe,0,FALSE,FALSE,FALSE,TRUE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Harp,FALSE,FALSE,1,FALSE,25
,Chiseled Stone Bricks,chiseled_stone_bricks,1.2,154,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,6,1.5,Pickaxe,0,FALSE,TRUE,TRUE,TRUE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,1,FALSE,26
,Infested Chiseled Stone Bricks,infested_chiseled_stone_bricks,1.7.2 13w36a,273,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,0.75,0.75,Pickaxe,0,FALSE,FALSE,FALSE,TRUE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Harp,FALSE,FALSE,1,FALSE,27
,Mossy Stone Bricks,mossy_stone_bricks,Beta 1.8 Pre-Release,125,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,6,1.5,Pickaxe,0,FALSE,TRUE,TRUE,TRUE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,1,FALSE,28
,Mossy Stone Brick Slab,mossy_stone_brick_slab,1.14 18w43a,606,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Depends,Depends,Depends,TRUE,0,6,1.5,Pickaxe,0,FALSE,TRUE,TRUE,TRUE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Depends,Depends,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,2,TRUE,29
,Mossy Stone Brick Stair,mossy_stone_brick_stairs,1.14 18w43a,607,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Depends,Depends,Depends,TRUE,0,6,1.5,Pickaxe,0,FALSE,TRUE,TRUE,TRUE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,8,TRUE,30
,Mossy Stone Brick Wall,mossy_stone_brick_wall,1.14 18w43a,608,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,No,No,No,TRUE,0,6,1.5,Pickaxe,0,FALSE,TRUE,TRUE,TRUE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,1,TRUE,31
,Infested Mossy Stone Bricks,infested_mossy_stone_bricks,1.7.2 13w36a,274,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,0.75,0.75,Pickaxe,0,FALSE,FALSE,FALSE,TRUE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Harp,FALSE,FALSE,1,FALSE,32
,Stone Pressure Plate,stone_pressure_plate,Alpha v1.0.1,65,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,No,No,No,FALSE,0,0.5,0.5,Pickaxe,0,TRUE,TRUE,TRUE,TRUE,No,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,No,No,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,N/A,Base Drum,FALSE,FALSE,1,TRUE,33
,Stone Button,stone_button,Alpha v1.0.1,66,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,No,No,No,FALSE,0,0.5,0.5,Pickaxe,0,TRUE,TRUE,TRUE,TRUE,No,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,No,No,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,FALSE,FALSE,N/A,Harp,FALSE,FALSE,12,TRUE,34
,Deepslate,deepslate,1.17 21w07a,859,FALSE,FALSE,FALSE,No,No,FALSE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,6,3,Pickaxe,0,FALSE,FALSE,TRUE,FALSE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,3,TRUE,35
,Infested Deepslate,infested_deepslate,1.17 21w08a,876,FALSE,FALSE,FALSE,No,No,FALSE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,0.75,1.5,Pickaxe,0,FALSE,FALSE,FALSE,TRUE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Harp,FALSE,FALSE,3,TRUE,36
,Cobbled Deepslate,cobbled_deepslate,1.17 21w07a,860,FALSE,FALSE,FALSE,No,No,FALSE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,6,3.5,Pickaxe,0,FALSE,TRUE,TRUE,FALSE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,1,FALSE,37
,Cobbled Deepslate Slab,cobbled_deepslate_slab,1.17 21w07a,861,FALSE,FALSE,FALSE,No,No,FALSE,TRUE,TRUE,FALSE,Depends,Depends,Depends,TRUE,0,6,3.5,Pickaxe,0,FALSE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Depends,Depends,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,2,TRUE,38
,Cobbled Deepslate Stairs,cobbled_deepslate_stairs,1.17 21w07a,862,FALSE,FALSE,FALSE,No,No,FALSE,TRUE,TRUE,FALSE,Depends,Depends,Depends,TRUE,0,6,3.5,Pickaxe,0,FALSE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,8,TRUE,39
,Cobbled Deepslate Wall,cobbled_deepslate_wall,1.17 21w10a,883,FALSE,FALSE,FALSE,No,No,FALSE,TRUE,TRUE,FALSE,No,No,No,TRUE,0,6,3.5,Pickaxe,0,FALSE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,1,TRUE,40
,Polished Deepslate,polished_deepslate,1.17 21w07a,863,FALSE,FALSE,FALSE,No,No,FALSE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,6,3.5,Pickaxe,0,FALSE,TRUE,TRUE,FALSE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,1,FALSE,41
,Polished Deepslate Slab,polished_deepslate_slab,1.17 21w07a,864,FALSE,FALSE,FALSE,No,No,FALSE,TRUE,TRUE,FALSE,Depends,Depends,Depends,TRUE,0,6,3.5,Pickaxe,0,FALSE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Depends,Depends,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,2,TRUE,42
,Polished Deepslate Stairs,polished_deepslate_stairs,1.17 21w07a,865,FALSE,FALSE,FALSE,No,No,FALSE,TRUE,TRUE,FALSE,Depends,Depends,Depends,TRUE,0,6,3.5,Pickaxe,0,FALSE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,8,TRUE,43
,Polished Deepslate Wall,polished_deepslate_wall,1.17 21w07a,866,FALSE,FALSE,FALSE,No,No,FALSE,TRUE,TRUE,FALSE,No,No,No,TRUE,0,6,3.5,Pickaxe,0,FALSE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,1,TRUE,44
,Deepslate Bricks,deepslate_bricks,1.17 21w07a,867,FALSE,FALSE,FALSE,No,No,FALSE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,6,3.5,Pickaxe,0,FALSE,TRUE,TRUE,FALSE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,1,FALSE,45
,Deepslate Brick Slab,deepslate_brick_slab,1.17 21w07a,868,FALSE,FALSE,FALSE,No,No,FALSE,TRUE,TRUE,FALSE,Depends,Depends,Depends,TRUE,0,6,3.5,Pickaxe,0,FALSE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Depends,Depends,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,2,TRUE,46
,Deepslate Brick Stairs,deepslate_brick_stairs,1.17 21w07a,869,FALSE,FALSE,FALSE,No,No,FALSE,TRUE,TRUE,FALSE,Depends,Depends,Depends,TRUE,0,6,3.5,Pickaxe,0,FALSE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,8,TRUE,47
,Deepslate Brick Wall,deepslate_brick_wall,1.17 21w07a,870,FALSE,FALSE,FALSE,No,No,FALSE,TRUE,TRUE,FALSE,No,No,No,TRUE,0,6,3.5,Pickaxe,0,FALSE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,1,TRUE,48
,Cracked Deepslate Bricks,cracked_deepslate_bricks,1.17 21w10a,884,FALSE,FALSE,FALSE,No,No,FALSE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,6,3.5,Pickaxe,0,FALSE,TRUE,TRUE,FALSE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,1,FALSE,49
